"","wife_age","wife_ed","husband_ed","num_child","wife_religion","wife_working","husband_cc","SOL_index","media_exposure","contraception"
"1",24,2,3,3,1,1,2,3,0,"0"
"2",45,1,3,10,1,1,3,4,0,"0"
"3",43,2,3,7,1,1,3,4,0,"0"
"4",42,3,2,9,1,1,3,3,0,"0"
"5",36,3,3,8,1,1,3,2,0,"0"
"6",19,4,4,0,1,1,3,3,0,"0"
"7",38,2,3,6,1,1,3,2,0,"0"
"8",21,3,3,1,1,0,3,2,0,"0"
"9",27,2,3,3,1,1,3,4,0,"0"
"10",45,1,1,8,1,1,2,2,1,"0"
"11",38,1,3,2,1,0,3,3,1,"0"
"12",42,1,4,4,1,1,1,3,0,"0"
"13",44,4,4,1,1,0,1,4,0,"0"
"14",42,2,4,1,1,0,3,3,0,"0"
"15",38,3,4,2,1,1,2,3,0,"0"
"16",26,2,4,0,1,1,4,1,0,"0"
"17",48,1,1,7,1,1,2,4,0,"0"
"18",39,2,2,6,1,1,2,4,0,"0"
"19",37,2,2,8,1,1,2,3,0,"0"
"20",39,2,1,5,1,1,2,1,1,"0"
"21",26,3,4,1,1,0,4,1,0,"0"
"22",24,3,4,0,1,0,3,1,0,"0"
"23",46,4,4,1,0,1,1,4,0,"0"
"24",39,4,4,1,1,1,1,4,0,"0"
"25",48,4,4,5,1,1,1,4,0,"0"
"26",40,2,4,8,1,1,3,3,0,"0"
"27",38,4,4,1,1,0,1,4,0,"0"
"28",29,4,4,0,1,0,1,4,0,"0"
"29",24,4,4,0,1,0,2,2,0,"0"
"30",43,1,2,8,1,1,2,4,0,"0"
"31",31,3,4,2,1,1,1,4,0,"0"
"32",31,4,4,2,1,1,3,2,0,"0"
"33",26,2,4,0,1,0,1,2,0,"0"
"34",33,2,2,2,1,1,3,1,0,"0"
"35",24,2,3,1,1,1,3,3,0,"0"
"36",42,1,3,9,1,1,3,2,1,"0"
"37",43,1,2,8,1,0,3,1,0,"0"
"38",25,3,3,4,1,1,3,2,0,"0"
"39",42,2,2,3,1,1,3,4,0,"0"
"40",28,2,2,1,1,1,2,4,0,"0"
"41",28,1,1,3,1,1,3,1,0,"0"
"42",47,2,3,0,1,0,1,3,0,"0"
"43",48,2,4,2,1,1,1,3,0,"0"
"44",40,4,4,2,0,1,1,4,0,"0"
"45",28,2,2,1,1,1,3,2,0,"0"
"46",25,1,4,1,1,1,2,1,0,"0"
"47",32,4,4,2,1,1,2,3,0,"0"
"48",45,4,4,0,1,1,2,4,0,"0"
"49",26,4,4,1,1,1,1,4,0,"0"
"50",26,4,4,0,1,0,1,4,0,"0"
"51",31,4,4,0,1,0,1,4,0,"0"
"52",49,4,4,7,0,1,2,4,0,"0"
"53",40,3,4,8,1,1,3,3,0,"0"
"54",34,4,4,1,0,0,2,3,0,"0"
"55",36,2,4,5,1,1,2,3,0,"0"
"56",20,2,2,2,1,1,2,2,1,"0"
"57",43,4,4,5,1,0,1,4,0,"0"
"58",37,3,4,7,1,1,2,1,0,"0"
"59",21,2,3,0,1,1,3,4,0,"0"
"60",49,4,4,6,1,1,1,2,0,"0"
"61",42,3,3,10,1,1,3,3,0,"0"
"62",20,2,3,1,1,1,2,3,0,"0"
"63",47,1,2,2,1,0,1,3,0,"0"
"64",22,2,3,1,1,1,2,1,0,"0"
"65",27,2,4,1,1,0,1,3,0,"0"
"66",24,2,4,1,1,1,3,1,0,"0"
"67",44,4,2,8,1,1,3,3,0,"0"
"68",30,2,3,3,1,1,3,1,0,"0"
"69",23,3,4,2,1,1,3,4,0,"0"
"70",25,4,4,1,1,0,3,3,0,"0"
"71",47,2,3,4,1,1,2,3,0,"0"
"72",48,2,3,8,1,1,1,4,0,"0"
"73",29,2,3,1,1,1,1,1,0,"0"
"74",29,2,3,1,1,1,1,2,0,"0"
"75",21,3,4,0,1,1,2,3,0,"0"
"76",21,3,4,1,1,1,2,3,0,"0"
"77",29,4,4,0,1,0,2,4,0,"0"
"78",45,3,4,3,1,1,1,4,0,"0"
"79",33,2,3,2,1,1,3,2,0,"0"
"80",38,4,4,1,1,0,1,4,0,"0"
"81",24,4,4,0,0,1,1,4,0,"0"
"82",49,4,4,6,0,0,1,4,0,"0"
"83",24,2,4,1,1,0,4,4,0,"0"
"84",28,4,4,0,0,0,1,4,0,"0"
"85",30,4,4,2,1,1,1,4,0,"0"
"86",33,4,4,2,1,1,1,4,0,"0"
"87",25,4,4,1,1,1,1,3,0,"0"
"88",35,4,4,3,0,1,1,4,0,"0"
"89",27,2,4,4,1,1,1,4,0,"0"
"90",24,2,2,3,1,0,2,1,0,"0"
"91",25,2,3,0,1,1,2,1,0,"0"
"92",46,2,4,6,1,1,1,4,0,"0"
"93",26,2,2,3,1,1,2,1,0,"0"
"94",38,2,2,1,1,0,3,2,0,"0"
"95",47,1,2,3,1,1,1,3,0,"0"
"96",41,1,3,10,1,1,2,3,1,"0"
"97",41,2,3,1,1,0,2,3,0,"0"
"98",28,4,4,5,1,1,2,1,0,"0"
"99",17,2,2,3,1,1,3,1,0,"0"
"100",27,2,3,5,1,1,2,1,0,"0"
"101",27,1,2,4,1,1,3,1,1,"0"
"102",19,2,3,0,1,0,2,2,0,"0"
"103",27,2,4,3,1,0,3,2,0,"0"
"104",26,4,3,4,1,1,2,3,0,"0"
"105",23,2,4,2,1,1,3,3,0,"0"
"106",40,3,3,3,1,1,3,2,0,"0"
"107",22,4,4,0,1,1,1,1,0,"0"
"108",44,3,4,4,1,0,1,3,0,"0"
"109",29,2,3,2,1,1,3,1,0,"0"
"110",26,2,3,3,1,1,3,1,0,"0"
"111",45,4,4,1,1,0,3,3,0,"0"
"112",32,3,3,7,1,0,2,3,0,"0"
"113",21,4,4,1,1,1,1,4,0,"0"
"114",31,2,2,4,1,1,3,3,0,"0"
"115",21,3,4,0,1,1,1,3,0,"0"
"116",37,4,4,1,1,1,1,4,0,"0"
"117",34,4,4,3,0,0,3,3,0,"0"
"118",44,3,4,1,1,1,1,3,0,"0"
"119",49,4,3,5,1,1,2,3,0,"0"
"120",26,2,3,2,1,1,3,3,0,"0"
"121",38,1,2,1,1,1,2,4,1,"0"
"122",36,2,3,5,1,1,2,3,0,"0"
"123",26,3,4,2,1,1,3,3,0,"0"
"124",20,2,3,1,0,1,3,2,0,"0"
"125",44,2,1,3,1,0,3,2,0,"0"
"126",31,3,4,2,1,1,1,2,1,"0"
"127",45,4,4,1,1,1,1,3,0,"0"
"128",36,2,3,2,1,1,3,2,1,"0"
"129",43,1,3,2,1,0,2,2,1,"0"
"130",25,3,4,0,1,1,1,3,0,"0"
"131",48,3,4,3,1,1,3,1,0,"0"
"132",30,4,4,0,0,0,1,3,0,"0"
"133",48,1,2,8,1,1,3,1,0,"0"
"134",28,3,4,1,1,1,3,1,1,"0"
"135",26,4,4,1,1,1,1,3,0,"0"
"136",26,3,3,3,1,0,2,4,0,"0"
"137",24,4,4,2,1,1,3,3,0,"0"
"138",21,3,3,2,1,1,2,2,0,"0"
"139",30,4,4,2,0,1,3,1,0,"0"
"140",20,4,4,1,1,1,1,4,0,"0"
"141",33,4,4,2,1,1,1,3,0,"0"
"142",30,4,4,0,0,0,3,3,0,"0"
"143",47,4,4,1,1,0,1,3,0,"0"
"144",35,4,4,2,0,1,3,3,0,"0"
"145",30,2,4,2,1,1,3,4,0,"0"
"146",33,4,4,3,1,1,1,4,0,"0"
"147",45,4,4,4,1,1,2,3,0,"0"
"148",41,4,4,2,1,1,1,4,0,"0"
"149",32,4,4,1,1,0,1,3,0,"0"
"150",43,4,4,5,1,1,1,4,0,"0"
"151",44,4,4,3,1,1,2,4,0,"0"
"152",21,1,3,4,1,1,3,2,0,"0"
"153",44,3,4,2,1,1,1,4,1,"0"
"154",23,4,4,2,1,1,2,4,0,"0"
"155",47,1,2,4,1,1,2,2,0,"0"
"156",47,1,1,7,1,1,2,3,1,"0"
"157",35,4,4,2,1,0,2,4,0,"0"
"158",32,2,4,4,1,1,3,2,0,"0"
"159",45,1,4,5,1,1,1,2,1,"0"
"160",22,2,2,2,1,1,3,1,0,"0"
"161",23,1,1,3,1,1,2,1,1,"0"
"162",30,4,4,0,1,0,1,4,0,"0"
"163",44,1,3,0,1,1,2,3,0,"0"
"164",40,3,3,1,1,0,3,3,0,"0"
"165",34,4,4,4,1,1,2,3,0,"0"
"166",37,3,4,1,1,1,2,4,0,"0"
"167",49,3,4,5,1,1,1,4,0,"0"
"168",26,4,4,1,1,1,1,4,0,"0"
"169",22,4,4,0,1,1,2,4,0,"0"
"170",20,3,4,0,1,0,2,4,0,"0"
"171",47,4,4,4,1,1,1,4,0,"0"
"172",49,2,2,8,1,0,3,1,0,"0"
"173",22,2,4,1,1,1,2,4,0,"0"
"174",22,3,3,2,1,1,3,4,0,"0"
"175",25,3,2,2,1,1,3,2,0,"0"
"176",32,2,4,0,1,0,3,4,0,"0"
"177",28,4,4,0,0,1,1,3,0,"0"
"178",30,2,4,4,1,0,1,4,0,"0"
"179",45,2,4,2,1,0,2,4,0,"0"
"180",49,2,1,10,1,0,2,4,0,"0"
"181",34,4,4,2,1,0,1,4,0,"0"
"182",25,2,4,1,1,1,2,2,0,"0"
"183",42,1,3,12,1,1,3,3,0,"0"
"184",48,2,1,3,1,0,4,3,0,"0"
"185",35,3,4,5,1,0,2,2,0,"0"
"186",33,2,3,1,1,1,3,4,0,"0"
"187",20,2,4,0,1,1,3,2,0,"0"
"188",36,2,3,4,1,1,3,1,1,"0"
"189",19,3,3,2,1,1,3,2,0,"0"
"190",27,3,2,3,1,1,3,2,0,"0"
"191",30,1,2,4,1,1,4,1,0,"0"
"192",31,3,4,3,1,0,3,2,0,"0"
"193",44,1,1,11,1,1,4,1,1,"0"
"194",24,3,3,2,1,1,3,3,0,"0"
"195",18,3,4,0,1,0,3,1,0,"0"
"196",45,1,2,6,1,1,3,3,1,"0"
"197",25,2,2,3,1,0,3,1,0,"0"
"198",36,3,4,6,1,1,2,4,0,"0"
"199",30,1,1,5,1,1,2,2,0,"0"
"200",32,2,4,2,1,1,3,3,0,"0"
"201",42,1,4,11,0,1,2,2,1,"0"
"202",22,2,4,0,1,1,3,3,0,"0"
"203",36,2,4,2,1,0,2,4,0,"0"
"204",27,2,3,2,1,1,3,3,0,"0"
"205",40,3,4,1,1,1,1,2,0,"0"
"206",22,2,3,2,1,1,3,1,0,"0"
"207",26,2,4,0,1,1,3,1,0,"0"
"208",31,3,4,0,1,0,2,3,0,"0"
"209",32,4,4,1,1,1,1,4,0,"0"
"210",34,2,3,3,1,0,3,2,0,"0"
"211",40,3,3,1,0,1,3,4,0,"0"
"212",45,1,2,1,1,0,3,3,0,"0"
"213",26,3,4,3,1,1,3,2,0,"0"
"214",48,1,3,5,1,1,3,2,0,"0"
"215",43,1,3,8,1,1,3,1,0,"0"
"216",27,3,4,2,1,0,2,2,0,"0"
"217",42,3,2,1,1,1,3,3,0,"0"
"218",34,3,2,8,1,0,2,3,1,"0"
"219",32,3,2,4,1,1,2,2,1,"0"
"220",31,3,3,2,1,0,2,3,0,"0"
"221",22,2,3,1,1,1,3,3,0,"0"
"222",27,3,4,0,1,1,3,3,0,"0"
"223",37,1,2,2,1,1,2,2,1,"0"
"224",22,1,2,0,1,1,2,4,0,"0"
"225",47,4,4,4,1,1,1,4,0,"0"
"226",32,4,4,4,1,0,1,3,0,"0"
"227",37,3,3,2,1,1,1,4,0,"0"
"228",45,1,3,1,1,1,2,3,1,"0"
"229",47,1,4,8,1,1,3,3,0,"0"
"230",28,3,4,0,1,1,3,2,0,"0"
"231",48,1,3,4,1,1,3,4,1,"0"
"232",26,2,4,1,1,1,1,3,0,"0"
"233",21,3,4,0,1,0,3,1,0,"0"
"234",20,2,3,1,1,1,2,4,0,"0"
"235",39,1,1,5,1,0,3,1,1,"0"
"236",27,2,3,1,1,0,3,4,0,"0"
"237",37,2,3,5,1,0,3,2,0,"0"
"238",24,4,4,1,1,1,3,3,0,"0"
"239",39,3,3,6,1,1,3,3,0,"0"
"240",20,3,3,1,1,1,2,3,0,"0"
"241",19,3,4,1,1,1,2,3,0,"0"
"242",40,3,3,4,1,1,2,2,0,"0"
"243",41,1,4,4,1,1,3,3,0,"0"
"244",22,4,4,2,1,1,1,3,0,"0"
"245",32,3,4,4,1,1,1,4,0,"0"
"246",34,4,4,2,0,1,1,4,0,"0"
"247",34,4,4,2,1,0,1,3,0,"0"
"248",23,4,4,2,1,1,1,4,0,"0"
"249",27,4,4,1,1,1,1,2,0,"0"
"250",46,3,2,11,1,0,2,2,1,"0"
"251",34,4,4,3,0,1,1,2,0,"0"
"252",33,4,4,5,1,1,3,3,0,"0"
"253",25,3,3,1,1,1,3,2,0,"0"
"254",26,4,4,1,1,0,1,4,0,"0"
"255",48,1,3,4,1,1,3,3,1,"0"
"256",36,4,4,2,1,1,3,3,0,"0"
"257",38,3,4,2,0,1,2,4,0,"0"
"258",44,1,2,7,1,1,3,4,0,"0"
"259",44,2,2,1,1,0,3,2,0,"0"
"260",39,3,3,1,0,1,3,4,0,"0"
"261",47,1,2,7,1,0,3,2,0,"0"
"262",43,1,3,5,1,0,3,2,0,"0"
"263",29,3,3,3,1,0,2,4,0,"0"
"264",22,3,3,0,1,1,2,2,0,"0"
"265",31,2,4,5,1,1,3,2,0,"0"
"266",22,4,4,0,1,1,1,3,0,"0"
"267",45,3,4,6,1,1,2,4,0,"0"
"268",42,3,4,10,1,0,3,2,0,"0"
"269",38,3,3,7,1,1,3,1,0,"0"
"270",47,1,1,6,1,0,3,1,0,"0"
"271",30,4,4,2,1,1,1,4,0,"0"
"272",28,3,4,1,1,1,3,4,0,"0"
"273",25,3,4,1,1,1,2,1,0,"0"
"274",49,2,4,6,0,1,2,3,0,"0"
"275",23,3,4,2,1,0,2,3,0,"0"
"276",35,3,4,1,0,1,2,3,0,"0"
"277",47,2,1,5,0,1,2,4,0,"0"
"278",35,2,3,0,1,1,2,4,0,"0"
"279",44,3,4,6,1,1,3,4,0,"0"
"280",48,4,4,3,1,1,2,4,0,"0"
"281",43,2,3,6,1,0,3,3,0,"0"
"282",21,2,4,2,1,1,3,1,0,"0"
"283",22,4,4,0,1,1,1,4,0,"0"
"284",41,3,3,5,1,1,3,4,0,"0"
"285",29,2,4,2,1,0,4,4,1,"0"
"286",44,4,4,5,0,1,2,4,0,"0"
"287",22,4,4,0,1,0,1,4,0,"0"
"288",23,2,4,4,1,1,3,3,0,"0"
"289",22,2,1,0,1,1,3,2,0,"0"
"290",35,1,3,0,1,1,2,2,1,"0"
"291",24,4,4,1,1,1,2,2,0,"0"
"292",36,4,4,4,1,1,1,4,0,"0"
"293",47,1,2,2,1,1,2,4,0,"0"
"294",40,4,4,3,1,1,3,4,0,"0"
"295",29,4,4,1,1,1,1,3,0,"0"
"296",49,3,4,6,1,1,1,4,0,"0"
"297",49,3,4,9,1,1,1,4,0,"0"
"298",47,4,4,2,1,1,1,4,0,"0"
"299",28,4,4,3,0,1,1,4,0,"0"
"300",26,4,4,1,1,1,1,4,0,"0"
"301",29,1,2,7,1,1,2,4,0,"0"
"302",29,4,2,0,1,0,2,2,0,"0"
"303",25,3,3,1,1,1,3,4,0,"0"
"304",24,2,4,2,1,1,3,4,0,"0"
"305",23,4,4,1,1,0,2,4,0,"0"
"306",23,4,4,2,1,0,3,3,0,"0"
"307",44,1,2,2,1,1,2,4,0,"0"
"308",39,3,4,6,1,1,1,4,0,"0"
"309",21,3,3,0,1,1,2,2,0,"0"
"310",22,3,4,2,1,1,2,3,0,"0"
"311",47,3,4,3,1,1,2,3,0,"0"
"312",36,3,3,2,1,0,2,4,0,"0"
"313",25,1,4,2,1,0,3,3,1,"0"
"314",40,4,4,2,1,1,3,4,0,"0"
"315",36,2,2,0,0,0,3,3,0,"0"
"316",37,2,3,5,0,0,2,4,0,"0"
"317",28,1,4,2,1,0,2,3,0,"0"
"318",30,3,3,5,1,0,3,4,0,"0"
"319",16,3,4,1,1,1,3,3,0,"0"
"320",32,2,3,4,0,1,2,4,0,"0"
"321",40,4,4,3,0,1,3,4,0,"0"
"322",40,1,1,2,1,0,3,4,0,"0"
"323",45,3,4,2,0,1,1,4,0,"0"
"324",21,1,3,0,1,0,3,4,1,"0"
"325",28,4,4,1,0,1,1,3,0,"0"
"326",25,4,4,1,0,1,2,3,0,"0"
"327",44,1,3,4,1,1,3,3,1,"0"
"328",35,4,4,2,0,1,3,4,0,"0"
"329",49,4,4,4,1,1,3,4,0,"0"
"330",39,3,4,1,0,1,3,4,0,"0"
"331",32,3,4,1,0,1,2,4,0,"0"
"332",35,1,2,0,1,0,4,4,0,"0"
"333",21,1,2,1,1,0,3,4,0,"0"
"334",47,4,4,1,0,1,1,4,0,"0"
"335",27,4,4,1,0,1,3,4,0,"0"
"336",31,2,2,8,1,1,2,2,1,"0"
"337",34,4,3,0,0,0,3,3,0,"0"
"338",30,4,4,3,1,0,2,4,0,"0"
"339",25,4,4,0,1,0,2,4,0,"0"
"340",28,3,4,3,1,1,2,1,0,"0"
"341",30,2,3,4,1,0,3,2,0,"0"
"342",42,3,3,8,1,1,4,3,0,"0"
"343",23,4,4,0,0,1,2,4,0,"0"
"344",45,3,4,3,0,1,3,4,0,"0"
"345",21,4,4,1,1,1,3,3,0,"0"
"346",28,4,4,1,0,1,2,4,0,"0"
"347",33,4,4,1,0,0,3,4,0,"0"
"348",32,1,2,4,1,1,3,2,1,"0"
"349",25,2,2,3,1,1,3,3,0,"0"
"350",25,3,3,1,1,1,3,1,0,"0"
"351",19,2,2,2,1,1,3,1,0,"0"
"352",40,1,2,6,1,1,3,1,1,"0"
"353",24,2,2,2,1,1,3,1,1,"0"
"354",32,2,2,1,1,1,2,1,0,"0"
"355",35,2,3,8,1,1,3,2,0,"0"
"356",27,2,2,1,1,0,3,2,1,"0"
"357",23,2,4,2,1,1,1,4,0,"0"
"358",22,2,4,4,1,1,3,4,0,"0"
"359",49,2,3,0,1,1,1,2,0,"0"
"360",25,2,3,0,1,1,2,4,0,"0"
"361",18,3,4,1,1,1,3,1,0,"0"
"362",43,3,3,4,1,1,2,4,0,"0"
"363",37,1,3,0,1,1,3,4,0,"0"
"364",30,2,3,2,1,0,2,4,0,"0"
"365",29,3,2,0,1,1,2,2,0,"0"
"366",20,2,3,3,1,1,3,4,0,"0"
"367",42,3,3,3,1,0,2,4,0,"0"
"368",23,4,4,1,1,1,2,3,0,"0"
"369",34,2,3,7,1,0,3,3,0,"0"
"370",23,3,3,6,1,1,3,3,0,"0"
"371",38,3,3,5,1,1,1,4,0,"0"
"372",37,2,3,4,1,1,2,3,0,"0"
"373",17,2,3,1,1,1,3,2,0,"0"
"374",39,3,4,3,1,1,1,4,0,"0"
"375",49,1,3,0,1,1,3,3,1,"0"
"376",23,3,3,2,1,1,2,2,0,"0"
"377",40,3,3,3,1,1,2,2,1,"0"
"378",32,2,4,5,1,1,2,3,0,"0"
"379",18,2,3,1,1,1,2,3,0,"0"
"380",46,1,2,8,1,1,3,3,1,"0"
"381",37,3,3,6,1,1,2,2,0,"0"
"382",38,2,4,5,0,1,2,2,0,"0"
"383",37,2,3,2,0,0,3,3,0,"0"
"384",25,2,3,1,1,0,2,1,0,"0"
"385",38,2,4,5,1,1,3,3,0,"0"
"386",39,4,4,2,1,0,1,4,0,"0"
"387",44,4,4,3,1,0,1,4,1,"0"
"388",19,4,4,0,0,1,3,4,0,"0"
"389",28,2,4,1,1,0,3,4,0,"0"
"390",20,2,3,1,1,1,3,4,0,"0"
"391",33,4,4,0,1,0,3,3,0,"0"
"392",33,4,4,5,1,1,3,4,0,"0"
"393",47,1,4,6,1,1,1,4,0,"0"
"394",25,3,3,0,1,1,3,4,0,"0"
"395",29,4,4,0,1,0,2,4,0,"0"
"396",37,4,4,2,0,1,1,4,0,"0"
"397",49,1,3,6,1,1,2,4,0,"0"
"398",48,1,1,8,1,0,2,2,1,"0"
"399",19,2,2,0,1,1,2,2,0,"0"
"400",46,1,2,3,1,1,2,1,1,"0"
"401",39,1,2,2,1,1,3,1,1,"0"
"402",30,3,4,5,1,1,1,4,0,"0"
"403",40,2,2,8,1,1,2,2,0,"0"
"404",43,1,2,1,1,1,3,4,1,"0"
"405",29,3,4,4,1,0,1,3,0,"0"
"406",23,3,3,2,1,1,3,3,0,"0"
"407",24,2,2,3,1,1,2,4,0,"0"
"408",47,3,3,2,1,1,2,4,0,"0"
"409",35,3,3,2,1,0,2,2,0,"0"
"410",19,3,3,1,1,1,2,4,0,"0"
"411",45,2,3,4,1,0,2,4,0,"0"
"412",42,2,4,2,1,1,3,4,0,"0"
"413",47,1,1,1,1,1,3,4,0,"0"
"414",25,2,2,2,1,1,3,1,0,"0"
"415",20,2,3,3,1,1,3,4,0,"0"
"416",33,3,3,6,1,1,3,4,0,"1"
"417",46,4,3,5,1,1,1,4,0,"1"
"418",35,4,4,4,1,1,1,4,0,"1"
"419",26,4,4,2,1,0,1,4,0,"1"
"420",36,3,3,5,1,0,1,3,0,"1"
"421",37,3,4,3,1,1,1,3,0,"1"
"422",44,2,4,4,1,1,3,3,0,"1"
"423",32,4,4,2,1,1,1,4,0,"1"
"424",25,2,4,6,1,1,3,4,0,"1"
"425",42,2,3,7,1,1,3,4,0,"1"
"426",30,4,4,2,0,0,1,4,0,"1"
"427",39,4,4,4,1,1,1,4,0,"1"
"428",26,1,1,2,1,1,3,4,0,"1"
"429",30,2,4,3,1,1,3,4,0,"1"
"430",38,4,4,4,0,0,1,2,0,"1"
"431",23,4,4,1,1,1,1,2,0,"1"
"432",18,3,4,1,1,1,3,4,0,"1"
"433",25,3,4,3,1,1,2,3,0,"1"
"434",37,4,4,2,1,0,3,3,0,"1"
"435",20,3,4,1,1,1,3,2,0,"1"
"436",45,4,4,7,1,1,1,4,0,"1"
"437",28,2,1,2,1,0,3,3,0,"1"
"438",33,2,2,3,1,1,2,3,0,"1"
"439",28,2,3,2,1,1,3,3,0,"1"
"440",30,2,4,1,1,0,3,4,0,"1"
"441",32,4,4,4,1,1,2,4,0,"1"
"442",48,4,3,7,1,0,2,4,0,"1"
"443",46,4,4,2,1,0,1,4,0,"1"
"444",32,4,4,2,0,0,1,4,0,"1"
"445",49,4,4,10,1,1,1,4,0,"1"
"446",33,2,2,6,1,0,3,4,0,"1"
"447",39,4,4,3,1,1,1,4,0,"1"
"448",35,4,4,5,0,0,1,4,0,"1"
"449",36,4,4,3,0,1,1,3,0,"1"
"450",20,3,4,1,1,1,2,4,0,"1"
"451",23,4,4,1,1,1,3,4,0,"1"
"452",26,2,4,2,1,1,1,3,0,"1"
"453",25,3,3,1,1,1,3,1,0,"1"
"454",31,4,4,1,1,1,1,4,0,"1"
"455",36,4,4,2,1,1,2,4,0,"1"
"456",32,3,3,2,1,0,3,4,0,"1"
"457",36,4,4,3,1,1,1,4,0,"1"
"458",40,4,4,3,1,1,1,4,0,"1"
"459",46,4,4,4,1,1,1,4,0,"1"
"460",42,4,4,8,0,1,1,4,0,"1"
"461",39,4,4,4,1,0,1,4,0,"1"
"462",34,4,4,2,1,1,1,4,0,"1"
"463",36,4,4,3,1,1,1,4,0,"1"
"464",37,4,4,3,1,1,1,4,0,"1"
"465",36,4,4,4,0,1,1,4,0,"1"
"466",38,4,4,2,1,1,1,4,0,"1"
"467",27,3,3,1,0,0,2,4,0,"1"
"468",37,4,3,8,1,1,1,4,0,"1"
"469",24,1,4,1,1,0,4,2,1,"1"
"470",42,2,4,8,1,1,1,4,0,"1"
"471",31,4,4,3,0,0,4,4,0,"1"
"472",34,2,3,2,1,1,3,3,0,"1"
"473",34,4,4,4,1,1,3,3,0,"1"
"474",36,4,4,4,0,0,1,4,0,"1"
"475",47,4,4,8,1,1,1,4,0,"1"
"476",34,4,4,3,1,1,1,4,0,"1"
"477",44,4,4,6,0,1,1,3,0,"1"
"478",21,4,4,1,1,1,1,4,0,"1"
"479",42,4,4,6,1,1,1,3,0,"1"
"480",44,4,4,4,1,0,2,3,0,"1"
"481",19,4,4,1,1,1,2,3,0,"1"
"482",35,1,3,7,1,0,2,3,1,"1"
"483",24,4,4,1,1,1,3,2,0,"1"
"484",32,3,4,7,0,1,1,3,0,"1"
"485",31,3,3,2,1,0,3,3,0,"1"
"486",47,3,4,11,1,0,2,3,0,"1"
"487",38,4,4,6,1,0,3,3,0,"1"
"488",40,4,4,4,1,1,1,3,0,"1"
"489",35,3,3,4,1,1,3,2,0,"1"
"490",26,3,4,3,1,1,3,4,0,"1"
"491",23,4,3,3,1,1,3,3,0,"1"
"492",40,4,4,6,0,0,1,4,0,"1"
"493",37,4,4,3,1,1,1,4,0,"1"
"494",39,4,4,5,1,1,2,4,0,"1"
"495",25,4,4,2,1,1,2,4,0,"1"
