"","instance.number","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Type"
"1",1,1.52101,13.64,4.49,1.1,4.27360588571946,0.06,8.75,0,0,1
"2",2,1.51761,13.89,3.6,1.36,4.28675395416645,0.48,7.83,0,0,1
"3",3,1.51618,13.53,3.55,1.54,4.29032244546354,0.39,7.78,0,0,1
"4",4,1.51766,13.21,3.69,1.29,4.28510265339216,0.57,8.22,0,0,1
"5",5,1.51742,13.27,3.62,1.24,4.29155473150981,0.55,8.07,0,0,1
"6",6,1.51596,12.79,3.61,1.62,4.29004839777753,0.64,8.07,0,0.26,1
"7",7,1.51743,13.3,3.6,1.14,4.2916915584923,0.58,8.17,0,0,1
"8",8,1.51756,13.15,3.61,1.05,4.29374171980631,0.57,8.24,0,0,1
"9",9,1.51918,14.04,3.58,1.37,4.27777661330008,0.56,8.3,0,0,1
"10",10,1.51755,13,3.6,1.36,4.29032244546354,0.57,8.4,0,0.11,1
"11",11,1.51571,12.72,3.46,1.56,4.29319542096727,0.67,8.09,0,0.24,1
"12",12,1.51763,12.8,3.66,1.27,4.29059641806799,0.6,8.56,0,0,1
"13",13,1.51589,12.88,3.43,1.4,4.29428772036588,0.69,8.4447657729752,0,0.24,1
"14",14,1.51748,12.86,3.56,1.27,4.29333202365855,0.54,8.38,0,0.17,1
"15",15,1.51763,12.61,3.59,1.31,4.29442417393776,0.58,8.5,0,0,1
"16",16,1.51761,12.81,3.54,1.23,4.29374171980631,0.58,8.39,0,0,1
"17",17,1.51784,12.68,3.67,1.16,4.29196515630522,0.61,8.7,0,0,1
"18",18,1.52196,14.36,3.85,0.89,4.26773748827175,0.15,9.15,0,0,1
"19",19,1.51911,13.9,3.73,1.18,4.27833139833512,0.06,8.89,0,0,1
"20",20,1.51735,13.02,3.54,1.69,4.28675395416645,0.54,8.44,0,0.07,1
"21",21,1.5175,12.82,3.55,1.49,4.2870289060516,0.54,8.52,0,0.19,1
"22",22,1.51966,14.77,3.75,0.29,4.27694385822073,0.03,9,0,0,1
"23",23,1.51736,12.78,3.62,1.29,4.28757858313017,0.59,8.7,0,0,1
"24",24,1.51751,12.7931886549799,3.57,1.35,4.29073337622749,0.62,8.59,0,0,1
"25",25,1.5172,13.38,3.5,1.15,4.28840253264121,0.5,8.43,0,0,1
"26",26,1.51764,12.98,3.54,1.21,4.29045944114839,0.65,8.53,0,0,1
"27",27,1.51793,13.21,3.48,1.41,4.28551573429304,0.59,8.43,0,0,1
"28",28,1.51721,12.87,3.48,1.33,4.29100723628671,0.56,8.43,0,0,1
"29",29,1.51768,12.56,3.52,1.43,4.29251212746613,0.57,8.54,0,0,1
"30",30,1.51784,13.08,3.49,1.28,4.28853979158042,0.6,8.49,0,0,1
"31",31,1.51768,12.65,3.56,1.3,4.29155473150981,0.61,8.69,0,0.14,1
"32",32,1.51747,12.84,3.5,1.14,4.29415124817187,0.56,8.55,0,0,1
"33",33,1.51775,12.85,3.48,1.23,4.29004839777753,0.61,8.56,0.09,0.22,1
"34",34,1.51753,12.57,3.47,1.38,4.29578768655697,0.6,8.55,0,0.06,1
"35",35,1.51783,12.69,3.54,1.34,4.28977427496879,0.57,8.75,0,0,1
"36",36,1.51567,13.29,3.45,1.21,4.28689143955884,0.56,8.57,0,0,1
"37",37,1.51909,13.89,3.53,1.32,4.27402374212223,0.51,8.78,0.11,0,1
"38",38,1.51797,12.74,3.48,1.35,4.28991134576608,0.64,8.68,0,0,1
"39",39,1.52213,14.21,3.82,0.47,4.27346656144198,0.11,9.57,0,0,1
"40",40,1.52213,14.21,3.82,0.47,4.27346656144198,0.11,9.57,0,0,1
"41",41,1.51793,12.79,3.5,1.12,4.29087031563202,0.64,8.77,0,0,1
"42",42,1.51755,12.71,3.42,1.2,4.29319542096727,0.59,8.64,0,0,1
"43",43,1.51779,13.21,3.39,1.33,4.28716635364992,0.59,8.59,0,0,1
"44",44,1.5221,13.73,3.84,0.72,4.27332721775054,0.17,9.74,0,0,1
"45",45,1.51786,12.73,3.43,1.19,4.28977427496879,0.62,8.76,0,0.3,1
"46",46,1.519,13.6189969382546,3.48,1.35,4.27597143333338,0.55,9,0,0,1
"47",47,1.51869,13.19,3.37,1.18,4.28661644986922,0.57,8.83,0,0.16,1
"48",48,1.52667,13.99,3.7,0.71,4.27067599175051,0.02,9.82,0,0.1,1
"49",49,1.52223,13.21,3.77,0.79,4.27652722048121,0.13,10.02,0,0,1
"50",50,1.51898,13.58,3.35,1.23,4.27777661330008,0.59,8.91,0,0,1
"51",51,1.5232,13.72,3.72,0.51,4.27318785463973,0.09,10.06,0,0.16,1
"52",52,1.51926,13.2,3.33,1.28,4.28165366052709,0.6,9.14,0,0.11,1
"53",53,1.51808,13.43,2.87,1.19,4.28826525485941,0.55,9.03,0,0,1
"54",54,1.51837,13.14,2.84,1.28,4.28840253264121,0.55,9.07,0,0,1
"55",55,1.51778,13.21,2.81,1.29,4.2901854310083,0.51,9.02,0,0.09,1
"56",56,1.51769,12.45,2.71,1.29,4.30000279919529,0.56,9.06,0,0.24,1
"57",57,1.51215,12.99,3.47,1.12,4.2901854310083,0.62,8.35,0,0.31,1
"58",58,1.51824,12.9185107127025,3.48,1.29,4.28977427496879,0.6,8.43,0,0,1
"59",59,1.51754,13.48,3.74,1.17,4.29032244546354,0.59,8.03,0,0,1
"60",60,1.51754,13.39,3.66,1.19,4.28757858313017,0.57,8.27,0,0.11,1
"61",61,1.51905,13.6,3.62,1.11,4.28551573429304,0.14,8.76,0,0,1
"62",62,1.51977,13.81,3.58,1.32,4.27276964873693,0.12,8.67,0.69,0,1
"63",63,1.52172,13.51,3.86,0.88,4.27374519058839,0.23,9.54,0,0.11,1
"64",64,1.52227,14.17,3.81,0.78,4.26759734392285,0,9.69,0,0,1
"65",65,1.52172,13.48,3.74,0.9,4.27680499826078,0.18,9.61,0,0.07,1
"66",66,1.52099,13.69,3.59,1.12,4.27611040908233,0.09,9.4,0,0,1
"67",67,1.52152,13.05,3.65,0.87,4.27971701584931,0.19,9.85,0,0.17,1
"68",68,1.52152,13.05,3.65,0.87,4.28110071608392,0.19,9.85,0,0.17,1
"69",69,1.52152,13.12,3.58,0.9,4.27944004589878,0.23,9.82,0,0.16,1
"70",70,1.523,13.31,3.58,0.82,4.27652722048121,0.12,10.17,0,0.03,1
"71",71,1.51574,14.86,3.67,1.74,4.27485893148035,0.16,7.36,0,0.12,2
"72",72,1.51848,13.64,3.87,1.27,4.27611040908233,0.54,8.32,0,0.32,2
"73",73,1.51593,13.09,3.59,1.52,4.29182836675573,0.67,7.83,0,0,2
"74",74,1.51631,13.34,3.57,1.57,4.28867703168219,0.61,7.89,0,0,2
"75",75,1.51596,13.02,3.56,1.54,4.29196515630522,0.72,7.9,0,0,2
"76",76,1.5159,13.02,3.58,1.51,4.29210192714589,0.69,7.96,0,0,2
"77",77,1.51645,13.44,3.61,1.54,4.28206816830505,0.66,8.03,0,0,2
"78",78,1.51627,13,3.58,1.54,4.28812795822982,0.61,8.04,0,0,2
"79",79,1.51613,13.92,3.52,1.25,4.2888142529517,0.37,7.94,0,0.14,2
"80",80,1.5159,12.82,3.52,1.9,4.28853979158042,0.69,7.97,0,0,2
"81",81,1.51592,12.86,3.52,2.12,4.28579102679306,0.69,7.97,0,0,2
"82",82,1.51593,13.25,3.45,1.43,4.29278550089594,0.61,7.86,0,0,2
"83",83,1.51646,13.41,3.55,1.25,4.28785330840662,0.68,8.1,0,0,2
"84",84,1.51594,13.09,3.52,1.55,4.28867703168219,0.68,8.05,0,0.09,2
"85",85,1.51409,14.25,3.09,2.08,4.28054746572403,1.1,7.08,0,0,2
"86",86,1.51625,13.36,3.58,1.49,4.28661644986922,0.45,8.21,0,0,2
"87",87,1.51569,13.24,3.49,1.47,4.29387824789718,0.38,8.03,0,0,2
"88",88,1.51645,13.4,3.49,1.52,4.28565339001629,0.67,8.08,0,0.1,2
"89",89,1.51618,13.01,3.5,1.48,4.28895145539412,0.6,8.12,0,0,2
"90",90,1.5164,12.55,3.48,1.87,4.29360517307298,0.63,8.08,0,0.09,2
"91",91,1.51841,12.93,3.74,1.11,4.28054746572403,0.64,8.96,0,0.22,2
"92",92,1.51605,12.9,3.44,1.45,4.29128102136714,0.44,8.27,0,0,2
"93",93,1.51588,13.12,3.41,1.58,4.29401475735067,0.07,8.39,0,0.19,2
"94",94,1.5159,13.24,3.34,1.47,4.29182836675573,0.39,8.22,0,0,2
"95",95,1.51629,12.71,3.33,1.49,4.29428772036588,0.67,8.24,0,0,2
"96",96,1.5186,13.36,3.43,1.43,4.28027072571949,0.51,8.6,0,0,2
"97",97,1.51841,13.02,3.62,1.06,4.28137722652395,0.64,9.13,0,0.15,2
"98",98,1.51743,12.2,3.25,1.16,4.29796544704745,0.62,8.9,0,0.24,2
"99",99,1.51689,12.67,2.88,1.71,4.29333202365855,0.73,8.54,0,0,2
"100",100,1.51811,12.96,2.96,1.43,4.28936294981046,0.6,8.79,0.14,0,2
"101",101,1.51655,12.75,2.85,1.44,4.29415124817187,0.57,8.79,0.11,0.22,2
"102",102,1.5173,12.35,2.72,1.63,4.28867703168219,0.7,9.23,0,0,2
"103",103,1.5182,12.62,2.76,0.83,4.30149422378196,0.35,9.42,0,0.2,2
"104",104,1.52725,13.8,3.15,0.66,4.25660512501274,0.08,11.64,0,0,2
"105",105,1.5241,13.83,2.9,1.17,4.26479032453586,0.08,10.79,0,0,2
"106",106,1.52475,11.45,0,1.88,4.27930153215107,0.81,13.24,0,0.34,2
"107",107,1.53125,10.73,0,2.1,4.24577726598231,0.58,13.3,3.15,0.28,2
"108",108,1.53393,12.3,0,1,4.25077834806393,0.12,16.19,0,0.24,2
"109",109,1.52222,14.43,0,1,4.28592864462854,0.1,11.52,0,0.08,2
"110",110,1.51818,13.72,0,0.56,4.31012775913002,0,10.99,0,0,2
"111",111,1.52664,11.23,0,0.77,4.29333202365855,0,14.68,0,0,2
"112",112,1.52739,11.02,0,0.75,4.29155473150981,0,14.96,0,0,2
"113",113,1.52777,12.64,0,0.67,4.27694385822073,0.06,14.4,0,0,2
"114",114,1.51892,13.46,3.83,1.26,4.2842759793302,0.57,8.21,0,0.14,2
"115",115,1.51847,13.1,3.97,1.19,4.28275863301521,0.6,8.43,0,0,2
"116",116,1.51846,13.41,3.89,1.33,4.2819300181356,0.51,8.28,0,0,2
"117",117,1.51829,13.24,3.9,1.41,4.28123898086119,0.55,8.31,0,0.1,2
"118",118,1.51708,13.72,3.68,1.81,4.27749910531995,0.64,7.88,0,0,2
"119",119,1.51673,13.3,3.64,1.53,4.28400026937532,0.65,8.03,0,0.29,2
"120",120,1.51652,13.56,3.57,1.47,4.28289666876669,0.64,7.96,0,0,2
"121",121,1.51844,13.25,3.76,1.32,4.28220629939167,0.58,8.42,0,0,2
"122",122,1.51663,12.93,3.54,1.62,4.28991134576608,0.64,8.03,0,0.21,2
"123",123,1.51687,13.23,3.54,1.48,4.28826525485941,0.56,8.1,0,0,2
"124",124,1.51707,13.48,3.48,1.71,4.28386238588665,0.62,7.99,0,0,2
"125",125,1.52177,13.2,3.68,1.15,4.2870289060516,0.54,8.52,0,0,2
"126",126,1.51872,12.93,3.66,1.56,4.2837244833835,0.58,8.55,0,0.12,2
"127",127,1.51667,12.94,3.61,1.26,4.2870289060516,0.56,8.6,0,0,2
"128",128,1.52081,13.78,2.28,1.43,4.27652722048121,0.49,9.85,0,0.17,2
"129",129,1.52068,13.55,2.09,1.67,4.27916299921464,0.53,9.57,0.27,0.17,2
"130",130,1.5202,13.98,1.35,1.63,4.27332721775054,0.39,10.56,0,0.18,2
"131",131,1.52177,13.75,1.01,1.36,4.27930153215107,0.33,11.14,0,0,2
"132",132,1.52614,13.7,0,1.36,4.26605445842146,0.19,13.44,0,0.1,2
"133",133,1.51813,13.43,3.98,1.18,4.28344862131279,0.58,8.15,0,0,2
"134",134,1.518,13.71,3.93,1.54,4.27402374212223,0.54,8.21,0,0.15,2
"135",135,1.51811,13.33,3.85,1.25,4.28744119218401,0.52,8.12,0,0,2
"136",136,1.51789,13.19,3.9,1.3,4.28123898086119,0.55,8.44,0,0.28,2
"137",137,1.51806,13,3.8,1.08,4.29141788580313,0.56,8.38,0,0.12,2
"138",138,1.51711,12.89,3.62,1.57,4.28991134576608,0.61,8.11,0,0,2
"139",139,1.51674,12.79,3.52,1.54,4.29537882794821,0.66,7.9,0,0,2
"140",140,1.51674,12.87,3.56,1.64,4.29237541272123,0.65,7.99,0,0,2
"141",141,1.5169,13.33,3.54,1.61,4.28413813385476,0.68,8.11,0,0,2
"142",142,1.51851,13.2,3.63,1.07,4.28812795822982,0.57,8.41,0.09,0.17,2
"143",143,1.51662,12.85,3.51,1.44,4.29059641806799,0.68,8.23,0.06,0.25,2
"144",144,1.51709,13,3.47,1.79,4.28661644986922,0.66,8.18,0,0,2
"145",145,1.5166,12.99,3.18,1.23,4.29004839777753,0.58,8.81,0,0.24,2
"146",146,1.51839,12.85,3.67,1.24,4.28455161329005,0.62,8.68,0,0.35,2
"147",147,1.51769,13.65,3.66,1.11,4.287303782359,0.11,8.6,0,0,3
"148",148,1.5161,13.33,3.53,1.34,4.28592864462854,0.56,8.33,0,0,3
"149",149,1.5167,13.24,3.57,1.38,4.28634138453947,0.56,8.44,0,0.1,3
"150",150,1.51643,12.16,3.52,1.35,4.28895145539412,0.57,8.53,0,0,3
"151",151,1.51665,13.14,3.45,1.76,4.28331066173472,0.6,8.38,0,0.17,3
"152",152,1.52127,14.32,3.9,0.83,4.26969744969996,0,9.49,0,0,3
"153",153,1.51779,13.64,3.65,0.65,4.29045944114839,0.06,8.93,0,0,3
"154",154,1.5161,13.42,3.4,1.22,4.28620382349654,0.59,8.32,0,0,3
"155",155,1.51694,12.86,3.58,1.31,4.28510265339216,0.61,8.79,0,0,3
"156",156,1.51646,13.04,3.4,1.26,4.29059641806799,0.52,8.58,0,0,3
"157",157,1.51655,13.41,3.39,1.28,4.28551573429304,0.52,8.65,0,0,3
"158",158,1.52121,14.03,3.76,0.58,4.27374519058839,0.11,9.65,0,0,3
"159",159,1.51776,13.53,3.41,1.52,4.27722152030776,0.58,8.79,0,0,3
"160",160,1.51796,13.5,3.36,1.63,4.27583243826748,0.57,8.81,0,0.09,3
"161",161,1.51832,13.33,3.34,1.54,4.27860867547539,0.56,8.99,0,0,3
"162",162,1.51934,13.64,3.54,0.75,4.28565339001629,0.16,8.89,0.15,0.24,3
"163",163,1.52211,14.19,3.78,0.91,4.26773748827175,0.23,9.14,0,0.37,3
"164",164,1.51514,14.01,2.68,3.5,4.24692257748904,1.68,5.87,2.2,0,5
"165",165,1.51915,12.73,1.85,1.86,4.28620382349654,0.6,10.09,0,0,5
"166",166,1.52171,11.56,1.88,1.56,4.28853979158042,0.47,11.41,0,0,5
"167",167,1.52151,11.03,1.71,1.56,4.29646874631224,0.58,11.62,0,0,5
"168",168,1.51969,12.64,0,1.65,4.30068099521993,0.38,11.53,0,0,5
"169",169,1.51666,12.86,0,1.83,4.30244215533104,0.97,10.17,0,0,5
"170",170,1.51994,13.27,0,1.76,4.29087031563202,0.47,11.32,0,0,5
"171",171,1.52369,13.44,0,1.58,4.27971701584931,0.32,12.24,0,0,5
"172",172,1.51316,13.02,0,3.04,4.25532898162792,6.21,6.96,0,0,5
"173",173,1.51321,13,0,3.02,4.25844557290253,6.21,6.93,0,0,5
"174",174,1.52043,13.38,0,1.4,4.28013232699254,0.33,12.5,0,0,5
"175",175,1.52058,12.85,1.61,2.17,4.27916299921464,0.76,9.7,0.24,0.51,5
"176",176,1.52119,12.97,0.33,1.51,4.29578768655697,0.13,11.27,0,0.28,5
"177",177,1.51905,14,2.39,1.56,4.28179184887804,0,9.57,0,0,6
"178",178,1.51937,13.79,2.41,1.19,4.28716635364992,0,9.77,0,0,6
"179",179,1.51829,14.46,2.24,1.62,4.2819300181356,0,9.26,0,0,6
"180",180,1.51852,14.09,2.19,1.66,4.28592864462854,0,9.32,0,0,6
"181",181,1.51299,14.4,1.74,1.54,4.31147004121075,0,7.59,0,0,6
"182",182,1.51888,14.99,0.78,1.74,4.28358656186063,0,9.95,0,0,6
"183",183,1.51916,14.15,0,2.09,4.28689143955884,0,10.88,0,0,6
"184",184,1.51969,14.56,0,0.56,4.29701326034693,0,11.22,0,0,6
"185",185,1.51115,17.38,0,0.34,4.32293989221456,0,6.65,0,0,6
"186",186,1.51131,13.69,3.2,1.81,4.28785330840662,1.76,5.43,1.19,0,7
"187",187,1.51838,14.32,3.26,2.22,4.26619481914876,1.46,5.79,1.63,0,7
"188",188,1.52315,13.44,3.34,1.23,4.2819300181356,0.6,8.83,0,0,7
"189",189,1.52247,14.86,2.2,2.06,4.25220264683768,0.76,9.76,0,0,7
"190",190,1.52365,15.79,1.83,1.31,4.25461930875732,0.31,8.61,1.68,0,7
"191",191,1.51613,13.88,1.78,1.79,4.29182836675573,0,8.67,0.76,0,7
"192",192,1.51602,14.85,0,2.38,4.29428772036588,0,8.76,0.816249466389772,0.09,7
"193",193,1.51623,14.2,0,2.79,4.29674104039152,0.04,9.04,0.4,0.09,7
"194",194,1.51719,14.75,0,2,4.29073337622749,0,8.53,1.59,0.08,7
"195",195,1.51683,14.56,0,1.98,4.29442417393776,0,8.52,1.57,0.07,7
"196",196,1.51545,14.14,0,2.68,4.29578768655697,0.08,9.07,0.61,0.05,7
"198",198,1.51727,14.7,0,2.34,4.29428772036588,0,8.95,0.66,0,7
"199",199,1.51531,14.38,0,2.66,4.29182836675573,0.04,9.08,0.64,0,7
"200",200,1.51609,15.01,0,2.51,4.29114413819671,0.05,8.83,0.53,0,7
"201",201,1.51508,15.15,0,2.25,4.29728540621879,0,8.34,0.63,0,7
"202",202,1.51653,11.95,0,1.19,4.31988523813603,2.7,8.93,0,0,7
"203",203,1.51514,14.85,0,2.42,4.30027413280162,0,8.39,0.56,0,7
"204",204,1.51658,14.8,0,1.99,4.29196515630522,0,8.28,1.71,0,7
"205",205,1.51617,14.95,0,2.27,4.29456060889261,0,8.71,0.67,0,7
"206",206,1.51732,14.6486091847409,0,1.8,4.29032244546354,0,8.61,1.55,0,7
"207",207,1.51645,14.94,0,1.87,4.29196515630522,0,8.67,1.38,0,7
"208",208,1.51831,14.39,0,1.82,4.28853979158042,1.41,6.47,2.88,0,7
"209",209,1.5164,14.37,0,2.74,4.28840253264121,0,9.45,0.54,0,7
"210",210,1.51623,14.14,0,2.88,4.28510265339216,0.08,9.18,1.06,0,7
"211",211,1.51685,14.92,0,1.99,4.29128102136714,0,8.4,1.59,0,7
"212",212,1.52065,14.36,0,2.02,4.29619637806869,0,8.44,1.64,0,7
"213",213,1.51651,14.38,0,1.94,4.29878088607061,0,8.48,1.57,0,7
"214",214,1.51711,14.23,0,2.08,4.29537882794821,0,8.62,1.67,0,7
